address,price,Bedrooms,Bath,Lot Size,Property Age,Gross Taxes for 2020,Area,Sub-Area/Community,Property Type,Title,Style,Heating Type,Depth,Frontage,Listing ID,Primary Agent,Primary Broker,Secondary Agent,Secondary Broker,Days on REW,Features,Amenities,Appliances,Fireplaces,Air Conditioner405 2688 Vine Street,"$589,900",1,1,Built in 1999 (21 yrs old),"$1,568",$431,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2521594,Doug Fielding PREC*,Stonehaus Realty Corp.,23 Days on REW,"Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Elevator, In Suite Laundry, Recreation Center",1
232 2565 W Broadway Avenue,"$1,065,000",2,3,Built in 1995 (25 yrs old),"$2,823",$481,Vancouver West,Kitsilano,Townhouse,Freehold Strata,Inside Unit,R2504537,Michael Uy PREC*,Oakwyn Realty Ltd.,Brigid Wong,Oakwyn Realty Ltd.,86 Days on REW,"Central Location, Private Setting, Recreation Nearby, Shopping Nearby","Range Top, Washer/Dryer/Fridge/Stove/Dishwasher","In Suite Laundry, Storage",1,,,,,,,,,,,,,,,,,,,,,,,
203 2160 Cornwall Avenue,"$948,000",2,2,Built in 1992 (28 yrs old),"$2,402",$508,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,End Unit,R2500456,Rod MacKay,"Maude, Mackay & Co. Ltd.",Richard Johnson,"Maude, Mackay & Co. Ltd.",95 Days on REW,"Drapes/window Coverings, Smoke Alarm","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",1,,,,,,,,,,,,,,,,,,,,,,,
2781 W 15th Avenue,"$2,470,000",4,3,4026 ft²,Built in 1929 (91 yrs old),"$7,109",Vancouver West,Kitsilano,House,Freehold NonStrata,1 Storey,33.00 feet,R2497832,Ken Cui PREC*,Nu Stream Realty Inc.,102 Days on REW,In Suite Laundry,Washer/Dryer/Fridge/Stove/Dishwasher,1,,,,,,,,,,,,,,,,,,,,,,,,,
2289 W 12th Avenue,"$1,299,000",2,2,Built in 1998 (22 yrs old),"$2,879",$517,Vancouver West,Kitsilano,Townhouse,Freehold Strata,"2 Storey,Ground Level Unit",R2497024,Lotus Yuen PREC*,RE/MAX Crest Realty,106 Days on REW,Drapes/window Coverings,"Central Location, Recreation Nearby, Shopping Nearby","Disposal - Waste, Washer/Dryer/Fridge/Stove/Dishwasher","Bike Room, Elevator, In Suite Laundry, Storage, Workshop Attached",1,,,,,,,,,,,,,,,,,,,,,,,,
1768 Cypress Street,"$2,190,000",3,3,Built in 2022 (-2 yrs old),$999,$545,Vancouver West,Kitsilano,Townhouse,Freehold Strata,3 Storey,Heat Recovery Ventilator,R2496199,Ken Chong PREC*,Macdonald Realty,James McKenny,Macdonald Realty,108 Days on REW,"Drapes/window Coverings, Garage Door Opener, Heat Recovery Ventilator, Security - Roughed In, Smoke Alarm, Sprinkler - Fire, Sprinkler - Inground","Marina Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Bike Room, In Suite Laundry, Storage",,,,,,,,,,,,,,,,,,,,,,
1897 W 2nd Avenue,"$2,180,000",2,3,Built in 2022 (-2 yrs old),$999,$562,Vancouver West,Kitsilano,Townhouse,Freehold Strata,3 Storey,Heat Recovery Ventilator,R2494342,Ken Chong PREC*,Macdonald Realty,James McKenny,Macdonald Realty,113 Days on REW,"Drapes/window Coverings, Garage Door Opener, Heat Recovery Ventilator, Security - Roughed In, Smoke Alarm, Sprinkler - Fire, Sprinkler - Inground","Marina Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Bike Room, In Suite Laundry, Storage",,,,,,,,,,,,,,,,,,,,,,
2070 W 14th Avenue,"$3,788,000",8,4,50 ft x 125 ft (6250 ft²),Built in 1922 (98 yrs old),"$10,423",Vancouver West,Kitsilano,House,Freehold NonStrata,Reverse 2 Storey w/Bsmt,125,50.00 feet,R2493457,Michelle Yu PREC*,RE/MAX Real Estate Services,115 Days on REW,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2917 W 20th Avenue,"$4,288,000",5,5,42 ft x 122 ft (5129 ft²),Built in 2013 (7 yrs old),"$12,652",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,122.12,42.00 feet,R2523766,Layla Yang PREC*,Dracco Pacific Realty,Frank Peng PREC*,Dracco Pacific Realty,10 Days on REW,"Central Location, Garage Door Opener, Heat Recovery Ventilator, Oven - Built In, Private Yard, Security System, Smoke Alarm, Treed, Vacuum - Built In, Wet Bar","Air Conditioning, Recreation Nearby, Sauna, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,1,Yes,,,,,,,,,,,,,,,,,,,
2688 W 19th Avenue,"$3,800,000",6,6,52 ft x 120 ft (6240 ft²),Built in 1987 (33 yrs old),"$11,176",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey,120,52.00 feet,R2520899,Andy Dai PREC*,Nu Stream Realty Inc.,26 Days on REW,"Central Location, Drapes/window Coverings, Garage Door Opener, Lane Access",Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,,,,,,,,,,,,,,,,,,
3008 W 21st Avenue,"$2,780,000",2,1,33 ft x 122 ft (4026 ft²),Built in 1941 (79 yrs old),"$7,278",Vancouver West,Arbutus,House,Freehold NonStrata,1 Storey,122,33.00 feet,R2518002,Mo Wei Tsang,Sutton Group-West Coast Realty,37 Days on REW,"Central Location, Lane Access, Treed","Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,1,,,,,,,,,,,,,,,,,,,,,,,
